,Df,id,Unnamed: 0.2,Unnamed: 0,Cd,Re,area,mass,vel,X,diam,ar,thick,anu,hab,d_off%,a_off%,ave_off%,num 1,num 2,rho,A_pix,scale,A_m,CH_pix,t_Re,t_Cd,tmp_idx
0,1.872113785,K01-13_traced.png,21,371,1.0838065,124.353714,3.78E-06,5.79E-08,0.49099997,16759.816,0.00367,35.69,0.001685437,1.45E-05,"b'""P2C'",3.256239782,3.968253968,3.629747724,1,13,1.15,59582,12.81698,3.63E-06,126731,4.823130037,0.080479382,21
1,1.867151933,K01-25_traced.png,42,293,1.9737303,225.32414,1.16E-05,5.39E-07,0.634,100208.2,0.005150001,55.61,0.005117573,1.45E-05,"b'""R1D'",14.38100692,12.06896552,13.27541503,1,25,1.15,167538,12.81698,1.02E-05,338712,5.417539988,0.679925306,42
2,1.830850111,K01-35_traced.png,6,256,1.3366054,129.18648,6.91E-06,8.24E-08,0.39,22306.805,0.0048,38.18,0.001311385,1.45E-05,"b'""P1E'",1.151625,1.157742402,1.154687752,1,35,1.15,114758,12.81698,6.99E-06,218654,4.861256942,0.290133116,6
3,1.872043548,K03-17_traced.png,33,423,0.999418,70.48945,1.84E-06,1.72E-08,0.39900002,4965.8706,0.00256,35.69,0.001026339,1.45E-05,"b'""P6D'",4.96328125,4.347826087,4.665712831,3,17,1.15,31516,12.81698,1.92E-06,61365,4.255463053,-0.000582169,33
4,1.854313824,K04-19_traced.png,5,253,2.0323598,52.37849,2.07E-06,1.88E-08,0.276,5575.792,0.00275,34.86,0.000998657,1.45E-05,"b'""P1F'",2.168436364,3.8647343,3.133551298,4,19,1.15,47550,15.47,1.99E-06,90082,3.958496011,0.709197581,5
5,1.865567581,K04-29_traced.png,27,384,1.0512642,115.79165,3.99E-06,5.44E-08,0.47,14095.041,0.00357,39.84,0.001497977,1.45E-05,"b'""P6D'",3.965546218,0.751879699,2.854021714,4,29,1.15,57930,12.1,3.96E-06,112819,4.751792455,0.04999344,27
6,1.878720668,K06-03_traced.png,47,365,1.4707139,162.64246,7.23E-06,1.44E-07,0.48,38904.16,0.00491,38.18,0.00218579,1.45E-05,"b'""R1D'",7.577515275,10.78838174,9.322229303,6,3,1.15,106037,12.81698,6.45E-06,257095,5.091554295,0.385747929,47
7,1.879064941,K06-05_traced.png,37,442,1.6424266,140.9209,4.44E-06,9.70E-08,0.47599998,32616.457,0.00429,30.71,0.002400477,1.45E-05,"b'""P2C'",5.11988345,1.126126126,3.706842767,6,5,1.15,73741,12.81698,4.49E-06,178274,4.94819874,0.496174782,37
8,1.867065293,K06-13_traced.png,48,376,1.8319066,109.70912,5.35E-06,7.80E-08,0.36799997,22048.996,0.00432,36.52,0.001600283,1.45E-05,"b'""P1E'",1.933634259,3.364485981,2.743966779,6,13,1.15,84869,12.81698,5.17E-06,165688,4.6978325,0.605357282,48
9,1.863371634,K06-21_traced.png,45,307,1.6003845,112.79595,4.26E-06,7.36E-08,0.42900002,20361.574,0.00381,37.35,0.001899926,1.45E-05,"b'""P1E'",9.537270341,2.816901408,7.031872407,6,21,1.15,67982,12.81698,4.14E-06,156437,4.725580434,0.470243913,45
