id,Vel,Rho,AR_ell,Dmax,Df,Vol,Mass,Dmax_pix,m/pix,CHA_pix,CHA,Re,Cd,Aeq/A,rho
grac_1.png,4.0418038,432,0.893,0.0033,1.75597,1.66E-08,7.18E-06,228,1.45E-05,33778,7.08E-06,964.9864181,0.9601,1.11,1.27E+00
grac_2.png,4.0327067,469,0.856,0.00342,1.77101,2.10E-08,9.83E-06,204,1.68E-05,30172,8.48E-06,997.8259079,1.1024,1.08,1.27E+00
grac_3.png,4.8599701,374,0.935,0.00424,1.77965,3.52E-08,1.32E-05,214,1.98E-05,30075,1.18E-05,1490.841546,0.7297,1.1,1.27E+00
grac_4.png,3.842284,343,0.927,0.00295,1.76298,1.16E-08,3.97E-06,210,1.40E-05,31934,6.30E-06,820.0560016,0.6603,0.98,1.27E+00
grac_5.png,5.9216261,346,0.873,0.00517,1.7401,5.45E-08,1.88E-05,231,2.24E-05,35803,1.79E-05,2214.948119,0.4634,0.97,1.27E+00
grac_6.png,4.8362155,436,0.858,0.00382,1.74271,2.42E-08,1.06E-05,227,1.68E-05,34452,9.76E-06,1336.598719,0.715,1.04,1.27E+00
grac_7.png,4.74932,389,0.74,0.00418,1.76907,2.11E-08,8.20E-06,237,1.76E-05,31205,9.71E-06,1436.282098,0.5793,0.95,1.27E+00
grac_8.png,5.289783,395,0.938,0.00479,1.74086,5.36E-08,2.12E-05,218,2.20E-05,35550,1.72E-05,1833.181235,0.6817,1,1.27E+00
grac_9.png,4.0047865,436,0.929,0.00292,1.74546,1.20E-08,5.22E-06,223,1.31E-05,34172,5.86E-06,846.0465382,0.8596,1.08,1.27E+00
grac_10.png,4.794899,411,0.958,0.00422,1.71488,3.72E-08,1.53E-05,238,1.77E-05,41869,1.32E-05,1463.942259,0.7804,1.02,1.27E+00
grac_11.png,4.3386269,219,0.833,0.00308,1.71663,1.29E-08,2.83E-06,247,1.25E-05,37640,5.85E-06,966.7964659,0.3966,1.14,1.27E+00
grac_12.png,4.3243499,342,0.841,0.00428,1.74543,3.49E-08,1.19E-05,222,1.93E-05,40272,1.50E-05,1339.049493,0.6596,0.86,1.26E+00
grac_13.png,4.8776288,408,0.817,0.00412,1.70915,2.39E-08,9.76E-06,232,1.78E-05,38653,1.22E-05,1453.911579,0.5203,0.82,1.27E+00
grac_14.png,4.6148658,426,0.831,0.00335,1.74012,1.64E-08,6.97E-06,225,1.49E-05,38617,8.56E-06,1118.499814,0.591,0.91,1.27E+00
grac_15.png,4.979805,455,0.948,0.00342,1.71378,2.30E-08,1.05E-05,234,1.46E-05,36929,7.89E-06,1232.169561,0.8275,1.24,1.27E+00
grac_16.png,5.8631845,613,0.879,0.00423,1.73336,3.45E-08,2.12E-05,228,1.86E-05,35002,1.20E-05,1794.34505,0.7905,1.07,1.28E+00
grac_17.png,5.2241983,307,0.845,0.00474,1.74134,4.66E-08,1.43E-05,233,2.03E-05,35501,1.47E-05,1791.554517,0.5517,1.07,1.27E+00
grac_18.png,4.7467937,468,0.844,0.00299,1.75406,1.16E-08,5.45E-06,230,1.30E-05,32097,5.42E-06,1026.841893,0.6889,1.15,1.27E+00
grac_19.png,4.6980953,402,0.861,0.00421,1.71817,3.33E-08,1.34E-05,235,1.79E-05,38539,1.24E-05,1430.987865,0.7589,1.01,1.27E+00
grac_21.png,4.8980126,417,0.959,0.00368,1.7427,2.43E-08,1.01E-05,227,1.62E-05,35129,9.23E-06,1304.066534,0.7075,1.1,1.26E+00
grac_22.png,5.2749186,355,0.946,0.00393,1.71226,2.86E-08,1.01E-05,240,1.64E-05,39026,1.05E-05,1499.824162,0.5387,1.08,1.26E+00
