idx,col_name,img_name,snowflake_class_name,shape,snowflake_class_id,x_rot,y_rot,z_rot,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,A_cross,A_length,A_crat,A_lrat,Df,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,V,planar_crystal,aggregate,graupel,columnar_crystal,combo
0,col1,col_BW_1,columnar_crystal,column1,,0,0,0,1.00E-05,1.00E-05,3.13E-05,1.00E-02,1.00E-03,6.50E-07,9.33E-06,6.50E-02,9.33E-01,1.896700003,0,3.19E-01,5.38E-01,6.48E+00,6.66E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
1,col2,col_BW_2,columnar_crystal,column1,,0,30,0,8.66E-06,8.66E-06,3.13E-05,1.00E-02,8.66E-04,6.50E-07,9.33E-06,7.50E-02,1.08E+00,1.898982212,0,2.77E-01,5.38E-01,6.48E+00,6.66E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
2,col3,col_BW_3,columnar_crystal,column1,,0,0,20,1.00E-05,1.00E-05,3.13E-05,,,3.57E-06,9.50E-06,3.57E-01,9.50E-01,1.894803043,0,3.19E-01,5.38E-01,1.18E+00,6.85E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
3,col4,col_BW_4,columnar_crystal,column1,,0,20,20,9.47E-06,9.47E-06,3.13E-05,,,3.57E-06,9.50E-06,3.77E-01,1.00E+00,1.896835386,0,3.03E-01,5.38E-01,1.18E+00,6.85E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
4,col5,col_BW_5,columnar_crystal,column1,,0,40,20,9.20E-06,9.20E-06,3.13E-05,,,3.57E-06,9.50E-06,3.88E-01,1.03E+00,1.897263606,0,2.94E-01,5.38E-01,1.18E+00,6.85E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
5,col6,col_BW_6,columnar_crystal,column1,,0,60,20,9.74E-06,9.74E-06,3.13E-05,,,3.57E-06,9.50E-06,3.67E-01,9.76E-01,1.89447406,0,3.11E-01,5.38E-01,1.18E+00,6.85E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
6,col7,col_BW_7,columnar_crystal,column1,,0,80,20,9.10E-06,9.10E-06,3.13E-05,,,3.57E-06,9.50E-06,3.93E-01,1.04E+00,1.894994124,0,2.91E-01,5.38E-01,1.18E+00,6.85E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
7,col8,col_BW_8,columnar_crystal,column1,,0,10,40,9.92E-06,9.92E-06,3.13E-05,,,6.06E-06,8.56E-06,6.11E-01,8.63E-01,1.885013429,0,3.17E-01,5.38E-01,6.94E-01,5.94E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
8,col9,col_BW_9,columnar_crystal,column1,,0,30,40,8.87E-06,8.87E-06,3.13E-05,,,6.06E-06,8.56E-06,6.84E-01,9.65E-01,1.888716679,0,2.83E-01,5.38E-01,6.94E-01,5.94E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
9,col10,col_BW_10,columnar_crystal,column1,,0,50,40,8.62E-06,8.62E-06,3.13E-05,,,6.06E-06,8.56E-06,7.04E-01,9.93E-01,1.89056393,0,2.75E-01,5.38E-01,6.94E-01,5.94E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1.00E+00,0.00E+00
10,col11,col_BW_11,columnar_crystal,column1,,0,70,40,8.34E-06,8.34E-06,3.13E-05,,,6.06E-06,8.56E-06,7.27E-01,1.03E+00,1.891238828,0,2.66E-01,5.38E-01,6.94E-01,5.94E-01,4.21E-06,6.50E-09,6.50E-09,0,0.00E+00,0.00E+00,1,0.00E+00
