idx,gr_name,img_name,snowflake_class_name,shape,snowflake_class_id,x_rot,y_rot,z_rot,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,A_cross,A_length,A_crat,A_lrat,Df,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,V,planar_crystal,aggregate,graupel,columnar_crystal,combo
0,gr1_0,gr1_BW_0,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.804329176,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
1,gr1_1,gr1_BW_1,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.812517894,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
2,gr1_2,gr1_BW_2,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.774842643,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
3,gr1_3,gr1_BW_3,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.7949098,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
4,gr1_4,gr1_BW_4,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.801898846,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
5,gr1_5,gr1_BW_5,graupel,sphere1,5,,,,1.96067E-06,1.96067E-06,7.84267E-06,0.00158,0.00158,1.96067E-06,1.96067E-06,1,1,1.799956276,3.15E-01,0.25,1,1,1,1.96E-06,2.07E-09,1.42E-09,0,0,1,0,0
6,gr2_6,gr2_BW_6,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.771753182,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
7,gr2_7,gr2_BW_7,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.776276515,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
8,gr2_8,gr2_BW_8,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.785586228,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
9,gr2_9,gr2_BW_9,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.789019633,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
10,gr2_10,gr2_BW_10,graupel,sphere2,5,,,,1.41026E-06,1.41026E-06,5.64104E-06,0.00134,0.00134,1.41026E-06,1.41026E-06,1,1,1.774889876,4.00E-01,0.25,1,1,1,1.41E-06,1.26E-09,7.56E-10,0,0,1,0,0
