idx,img_name,snowflake_class_name,snowflake_class_id,x_rot,y_rot,z_rot,Df,plane_diam,plane_depth,A_char,proj_CH_area,CH_SA,Dmax,Dsemimin,alpha,est_Achar,est_%err,Aproj_rat,beta,A_cross,A_length,A_crat,A_lrat,porosity,sar,sph,cross_sph,length_sph,Aeq,VCH,planar_crystal,aggregate,graupel,columnar_crystal,combo
1,hex_BW_1.png,planar_crystal,3,45,0,0,1.838895394,0.001,4.00E-05,6.50E-07,4.84E-07,1.42E-06,0.000946,0.000681,43.99924904,6.73E-07,3.51E+00,7.45E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
2,hex_BW_2.png,planar_crystal,3,45,15,0,1.80773362,0.001,4.00E-05,6.50E-07,4.72E-07,1.42E-06,0.000997,0.000625,51.17318262,7.53E-07,1.58E+01,7.26E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
3,hex_BW_3.png,planar_crystal,3,45,30,0,1.788248082,0.001,4.00E-05,6.50E-07,4.29E-07,1.42E-06,0.000996,0.000566,55.3245528,7.54E-07,1.60E+01,6.60E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
4,hex_BW_4.png,planar_crystal,3,45,45,0,1.81823983,0.001,4.00E-05,6.50E-07,3.56E-07,1.42E-06,0.00094,0.000499,57.97676579,6.71E-07,3.29E+00,5.48E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
5,hex_BW_5.png,planar_crystal,3,45,60,0,1.837032369,0.001,4.00E-05,6.50E-07,2.64E-07,1.42E-06,0.000941,0.000364,67.2317959,6.82E-07,4.95E+00,4.06E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
6,hex_BW_6.png,planar_crystal,3,45,75,0,1.882052227,0.001,4.00E-05,6.50E-07,1.58E-07,1.42E-06,0.000983,0.000201,78.2242474,7.74E-07,1.91E+01,2.43E-01,,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
7,hex_BW_7.png,planar_crystal,3,30,0,0,1.773377237,0.001,4.00E-05,6.50E-07,5.80E-07,1.42E-06,0.000977,0.000792,35.82115263,7.15E-07,1.00E+01,8.92E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
8,hex_BW_8.png,planar_crystal,3,15,0,0,1.723890122,0.001,4.00E-05,6.50E-07,6.36E-07,1.42E-06,0.000997,0.000853,31.18535566,7.43E-07,1.44E+01,9.78E-01,60.3,2.02E-07,4.11E-07,3.11E-01,6.32E-01,0,4.58E-01,0.299,0.526,0.356,1.06E-07,2.60E-11,1,0,0,0,0
9,hex_BW_9.png,planar_crystal,3,45,90,0,1.909646855,0.001,4.00E-05,6.50E-07,4.00E-08,1.42E-06,0.001,4.00E-05,87.70767108,1.00E-06,5.38E+01,6.15E-02,135,4.84E-07,3.15E-07,7.45E-01,4.85E-01,0,4.58E-01,0.299,0.219,0.269,1.06E-07,2.60E-11,1,0,0,0,0
10,hex_BW_10.png,planar_crystal,3,30,15,0,1.767858491,0.001,4.00E-05,6.50E-07,5.65E-07,1.42E-06,0.001,0.000746,41.68380307,7.57E-07,1.64E+01,8.69E-01,,3.55E-07,3.74E-07,5.46E-01,5.75E-01,0,4.58E-01,0.299,0.299,0.317,1.06E-07,2.60E-11,1,0,0,0,0
